EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,filters_2,kernel_2,pooling_2,stride_2,units_1,trial_status,generation_method,units_2,units_3,filters_3,kernel_3,pooling_3,stride_3,OPs,info
0.995,0.273,6,6_0,52,3,FALSE,1,,,,,,COMPLETED,Sobol,,,,,,,93200,"C: [52], K: [3], P: ['FALSE'], S: [1], D: []"
1.066,0.306,2,2_0,44,3,FALSE,1,,,,,,COMPLETED,Sobol,,,,,,,78864,"C: [44], K: [3], P: ['FALSE'], S: [1], D: []"
1.24,0.381,2,2_0,51,5,TRUE,1,19,5,FALSE,1,,COMPLETED,Sobol,,,27,3,TRUE,4,955785,"C: [51, 19, 27], K: [5, 5, 3], P: ['TRUE', 'FALSE', 'TRUE'], S: [1, 1, 4], D: []"
1.272,0.354,1,1_0,17,3,TRUE,1,,,,,,COMPLETED,Sobol,,,,,,,30480,"C: [17], K: [3], P: ['TRUE'], S: [1], D: []"
1.285,0.401,9,9_0,36,3,FALSE,1,,,,,,COMPLETED,GPEI,,,,,,,64528,"C: [36], K: [3], P: ['FALSE'], S: [1], D: []"
1.327,0.37,3,3_0,13,3,TRUE,1,56,3,TRUE,4,,COMPLETED,Sobol,,,50,3,FALSE,2,82290,"C: [13, 56, 50], K: [3, 3, 3], P: ['TRUE', 'TRUE', 'FALSE'], S: [1, 4, 2], D: []"
1.334,0.38,4,4_0,19,3,TRUE,1,,,,,,COMPLETED,Sobol,,,,,,,34064,"C: [19], K: [3], P: ['TRUE'], S: [1], D: []"
1.348,0.403,9,9_0,25,1,FALSE,1,41,5,TRUE,1,,COMPLETED,Sobol,,,1,3,TRUE,4,828503,"C: [25, 41, 1], K: [1, 5, 3], P: ['FALSE', 'TRUE', 'TRUE'], S: [1, 1, 4], D: []"
1.355,0.425,0,0_0,12,5,FALSE,2,,,,,,COMPLETED,Sobol,,,,,,,11536,"C: [12], K: [5], P: ['FALSE'], S: [2], D: []"
1.501,0.486,8,8_0,38,5,FALSE,1,,,,,18,COMPLETED,Sobol,,,,,,,148962,"C: [38], K: [5], P: ['FALSE'], S: [1], D: [18]"
1.51,0.586,3,3_0,55,1,FALSE,1,,,,,,COMPLETED,Sobol,,,,,,,42256,"C: [55], K: [1], P: ['FALSE'], S: [1], D: []"
1.52,0.486,5,5_0,38,5,FALSE,4,53,5,FALSE,2,,COMPLETED,Sobol,,,,,,,110581,"C: [38, 53], K: [5, 5], P: ['FALSE', 'FALSE'], S: [4, 2], D: []"
1.537,0.523,2,2_0,61,5,FALSE,2,,,,,43,COMPLETED,Sobol,42,,,,,,76793,"C: [61], K: [5], P: ['FALSE'], S: [2], D: [43, 42]"
1.542,0.499,1,1_0,26,5,FALSE,2,,,,,31,COMPLETED,Sobol,,,,,,,29119,"C: [26], K: [5], P: ['FALSE'], S: [2], D: [31]"
1.585,0.498,5,5_0,22,1,FALSE,1,39,5,TRUE,2,58,COMPLETED,Sobol,,,,,,,183998,"C: [22, 39], K: [1, 5], P: ['FALSE', 'TRUE'], S: [1, 2], D: [58]"
1.589,0.525,3,3_0,19,5,TRUE,1,18,5,TRUE,2,58,COMPLETED,Sobol,,,10,3,FALSE,4,138156,"C: [19, 18, 10], K: [5, 5, 3], P: ['TRUE', 'TRUE', 'FALSE'], S: [1, 2, 4], D: [58]"
1.602,0.544,2,2_0,53,5,TRUE,2,15,5,FALSE,1,61,COMPLETED,Sobol,33,,57,1,FALSE,4,217357,"C: [53, 15, 57], K: [5, 5, 1], P: ['TRUE', 'FALSE', 'FALSE'], S: [2, 1, 4], D: [61, 33]"
1.619,0.538,1,1_0,49,3,FALSE,2,,,,,48,COMPLETED,Sobol,54,37,,,,,45015,"C: [49], K: [3], P: ['FALSE'], S: [2], D: [48, 54, 37]"
1.621,0.535,7,7_0,48,5,FALSE,2,30,1,TRUE,1,28,COMPLETED,Sobol,,,,,,,54316,"C: [48, 30], K: [5, 1], P: ['FALSE', 'TRUE'], S: [2, 1], D: [28]"
1.626,0.539,8,8_0,58,3,TRUE,1,52,1,TRUE,4,34,COMPLETED,Sobol,20,,19,1,FALSE,2,85965,"C: [58, 52, 19], K: [3, 1, 1], P: ['TRUE', 'TRUE', 'FALSE'], S: [1, 4, 2], D: [34, 20]"
1.649,0.582,6,6_0,29,5,FALSE,2,29,5,FALSE,2,36,COMPLETED,Sobol,62,,28,5,TRUE,1,115641,"C: [29, 29, 28], K: [5, 5, 5], P: ['FALSE', 'FALSE', 'TRUE'], S: [2, 2, 1], D: [36, 62]"
1.658,0.574,4,4_0,52,5,FALSE,2,,,,,17,COMPLETED,Sobol,63,,,,,,54590,"C: [52], K: [5], P: ['FALSE'], S: [2], D: [17, 63]"
1.671,0.538,0,0_0,9,5,FALSE,4,14,1,FALSE,1,25,COMPLETED,Sobol,,,34,5,FALSE,2,28705,"C: [9, 14, 34], K: [5, 1, 5], P: ['FALSE', 'FALSE', 'FALSE'], S: [4, 1, 2], D: [25]"
1.7,0.581,2,2_0,46,5,TRUE,2,19,3,FALSE,2,62,COMPLETED,Sobol,,,,,,,58517,"C: [46, 19], K: [5, 3], P: ['TRUE', 'FALSE'], S: [2, 2], D: [62]"
1.748,0.625,1,1_0,37,5,FALSE,2,48,1,FALSE,2,42,COMPLETED,Sobol,42,,,,,,43580,"C: [37, 48], K: [5, 1], P: ['FALSE', 'FALSE'], S: [2, 2], D: [42, 42]"
1.751,0.576,1,1_0,,,,,,,,,32,COMPLETED,Sobol,,,,,,,5168,"C: [], K: [3], P: [], S: [], D: [32]"
1.757,0.58,7,7_0,32,3,FALSE,1,,,,,64,COMPLETED,Sobol,33,18,,,,,112615,"C: [32], K: [3], P: ['FALSE'], S: [1], D: [64, 33, 18]"
1.768,0.616,3,3_0,14,3,TRUE,1,,,,,37,COMPLETED,Sobol,35,26,,,,,39852,"C: [14], K: [3], P: ['TRUE'], S: [1], D: [37, 35, 26]"
1.795,0.653,7,7_0,49,5,TRUE,2,22,3,TRUE,2,19,COMPLETED,Sobol,20,39,4,3,FALSE,1,65700,"C: [49, 22, 4], K: [5, 3, 3], P: ['TRUE', 'TRUE', 'FALSE'], S: [2, 2, 1], D: [19, 20, 39]"
1.845,0.722,5,5_0,62,5,TRUE,2,,,,,28,COMPLETED,Sobol,18,38,,,,,69164,"C: [62], K: [5], P: ['TRUE'], S: [2], D: [28, 18, 38]"
1.854,0.668,6,6_0,,,,,,,,,16,COMPLETED,GPEI,64,,,,,,6240,"C: [], K: [3], P: [], S: [], D: [16, 64]"
1.866,0.677,1,1_0,47,5,TRUE,1,38,3,TRUE,2,34,COMPLETED,Sobol,,,,,,,289034,"C: [47, 38], K: [5, 3], P: ['TRUE', 'TRUE'], S: [1, 2], D: [34]"
1.888,0.616,8,8_0,24,5,FALSE,4,31,5,TRUE,2,43,COMPLETED,Sobol,56,60,,,,,58644,"C: [24, 31], K: [5, 5], P: ['FALSE', 'TRUE'], S: [4, 2], D: [43, 56, 60]"
1.895,0.551,5,5_0,8,1,TRUE,1,,,,,54,COMPLETED,Sobol,,,,,,,17670,"C: [8], K: [1], P: ['TRUE'], S: [1], D: [54]"
1.9,0.708,5,5_0,,,,,,,,,38,COMPLETED,GPEI,,,,,,,6134,"C: [], K: [3], P: [], S: [], D: [38]"
1.907,0.763,6,6_0,19,5,TRUE,1,37,3,TRUE,2,46,COMPLETED,Sobol,,,31,1,TRUE,2,120979,"C: [19, 37, 31], K: [5, 3, 1], P: ['TRUE', 'TRUE', 'TRUE'], S: [1, 2, 2], D: [46]"
1.918,0.773,5,5_0,,,,,,,,,64,COMPLETED,GPEI,64,,,,,,18576,"C: [], K: [3], P: [], S: [], D: [64, 64]"
1.926,0.546,0,0_0,16,1,TRUE,1,31,5,TRUE,1,48,COMPLETED,Sobol,,,,,,,415392,"C: [16, 31], K: [1, 5], P: ['TRUE', 'TRUE'], S: [1, 1], D: [48]"
1.938,0.589,9,9_0,2,3,FALSE,1,61,1,FALSE,1,62,COMPLETED,Sobol,16,,37,3,FALSE,4,56405,"C: [2, 61, 37], K: [3, 1, 3], P: ['FALSE', 'FALSE', 'FALSE'], S: [1, 1, 4], D: [62, 16]"
1.94,0.623,9,9_0,3,5,TRUE,1,,,,,24,COMPLETED,Sobol,26,,,,,,14434,"C: [3], K: [5], P: ['TRUE'], S: [1], D: [24, 26]"
2.002,0.744,1,1_0,,,,,,,,,61,COMPLETED,Sobol,48,,,,,,15325,"C: [], K: [3], P: [], S: [], D: [61, 48]"
2.029,0.663,6,6_0,49,3,TRUE,2,,,,,60,COMPLETED,Sobol,63,,,,,,48915,"C: [49], K: [3], P: ['TRUE'], S: [2], D: [60, 63]"
2.038,0.693,6,6_0,48,3,TRUE,2,28,3,FALSE,4,34,COMPLETED,Sobol,,,,,,,42734,"C: [48, 28], K: [3, 3], P: ['TRUE', 'FALSE'], S: [2, 4], D: [34]"
2.043,0.626,9,9_0,2,5,TRUE,1,,,,,23,COMPLETED,Sobol,,,,,,,8903,"C: [2], K: [5], P: ['TRUE'], S: [1], D: [23]"
2.077,0.969,7,7_0,60,5,TRUE,4,20,1,FALSE,4,,COMPLETED,Sobol,,,23,1,FALSE,1,16767,"C: [60, 20, 23], K: [5, 1, 1], P: ['TRUE', 'FALSE', 'FALSE'], S: [4, 4, 1], D: []"
2.082,0.622,6,6_0,34,1,TRUE,1,,,,,63,COMPLETED,Sobol,55,21,,,,,87315,"C: [34], K: [1], P: ['TRUE'], S: [1], D: [63, 55, 21]"
2.106,0.718,0,0_0,38,1,FALSE,1,32,5,TRUE,2,22,COMPLETED,Sobol,24,64,,,,,260894,"C: [38, 32], K: [1, 5], P: ['FALSE', 'TRUE'], S: [1, 2], D: [22, 24, 64]"
2.125,0.758,8,8_0,57,3,FALSE,1,,,,,,COMPLETED,GPEI,,,,,,,102160,"C: [57], K: [3], P: ['FALSE'], S: [1], D: []"
2.141,1.191,6,6_0,61,3,FALSE,4,6,5,TRUE,4,,COMPLETED,Sobol,,,22,3,FALSE,4,26416,"C: [61, 6, 22], K: [3, 5, 3], P: ['FALSE', 'TRUE', 'FALSE'], S: [4, 4, 4], D: []"
2.142,0.728,3,3_0,,,,,,,,,48,COMPLETED,Sobol,63,,,,,,14335,"C: [], K: [3], P: [], S: [], D: [48, 63]"
2.161,1.191,0,0_0,54,3,FALSE,4,23,1,TRUE,4,,COMPLETED,Sobol,,,,,,,7671,"C: [54, 23], K: [3, 1], P: ['FALSE', 'TRUE'], S: [4, 4], D: []"
2.165,1.18,5,5_0,47,3,FALSE,4,,,,,,COMPLETED,Sobol,,,,,,,5280,"C: [47], K: [3], P: ['FALSE'], S: [4], D: []"
2.169,0.736,0,0_0,42,3,FALSE,1,48,1,TRUE,2,,COMPLETED,Sobol,,,53,3,TRUE,1,118041,"C: [42, 48, 53], K: [3, 1, 3], P: ['FALSE', 'TRUE', 'TRUE'], S: [1, 2, 1], D: []"
