EMD,EMD_error,trial_index,arm_name,units_1,learning_rate,batch_size,trial_status,generation_method,filters_1,kernel_1,stride_1,filters_2,kernel_2,stride_2,pooling_1,pooling_2,filters_3,kernel_3,stride_3,pooling_3,OPs,info
2.27,0.743,0,0_0,32,0.09352688251,200,COMPLETED,Sobol,,,,,,,,,,,,,5168,"C: [], K: [3], P: [], S: [], D: [32]"
1.793,0.584,1,1_0,16,0.008442029199,50,COMPLETED,Sobol,,,,,,,,,,,,,2592,"C: [], K: [3], P: [], S: [], D: [16]"
1.962,0.674,2,2_0,32,0.08021236572,250,COMPLETED,Sobol,,,,,,,,,,,,,5168,"C: [], K: [3], P: [], S: [], D: [32]"
2.012,0.801,3,3_0,32,0.02462519277,300,COMPLETED,Sobol,,,,,,,,,,,,,5168,"C: [], K: [3], P: [], S: [], D: [32]"
1.793,0.584,4,4_0,16,0.01814502132,50,COMPLETED,Sobol,,,,,,,,,,,,,2592,"C: [], K: [3], P: [], S: [], D: [16]"
1.45,0.431,5,5_0,64,0.01569575565,400,COMPLETED,Sobol,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,6,6_0,64,0.01763662844,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,7,7_0,64,0.01647968897,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,8,8_0,64,0.0164005948,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,9,9_0,64,0.01600413479,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,10,10_0,64,0.01627240693,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,11,11_0,64,0.01625399889,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,12,12_0,64,0.01698208235,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,13,13_0,64,0.01675372577,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,14,14_0,64,0.01676507159,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,15,15_0,64,0.01660691712,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,16,16_0,64,0.01647828594,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,17,17_0,64,0.01640909895,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,18,18_0,64,0.01639139422,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,19,19_0,64,0.01649548447,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,20,20_0,64,0.01644881516,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
2.33,0.783,21,21_0,64,0.0001,50,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,22,22_0,64,0.01664656577,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,23,23_0,64,0.0161022565,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,24,24_0,64,0.01586935034,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
2.024,0.708,25,25_0,16,0.1,400,COMPLETED,GPEI,,,,,,,,,,,,,2592,"C: [], K: [3], P: [], S: [], D: [16]"
1.45,0.431,26,26_0,64,0.01634442592,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,27,27_0,64,0.01645571474,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
1.45,0.431,28,28_0,64,0.0161869108,400,COMPLETED,GPEI,,,,,,,,,,,,,10320,"C: [], K: [3], P: [], S: [], D: [64]"
2.024,0.708,29,29_0,16,0.0001,400,COMPLETED,GPEI,,,,,,,,,,,,,2592,"C: [], K: [3], P: [], S: [], D: [16]"
3.191,1.295,0,0_0,16,0.07399147078,350,COMPLETED,Sobol,64,3,4,16,3,2,TRUE,TRUE,,,,,24688,"C: [64, 16], K: [3, 3], P: ['True', 'True'], S: [4, 2], D: [16]"
3.54,1.557,1,1_0,64,0.07958572247,350,COMPLETED,Sobol,2,5,4,64,5,2,TRUE,TRUE,,,,,17456,"C: [2, 64], K: [5, 5], P: ['True', 'True'], S: [4, 2], D: [64]"
2.611,1.043,2,2_0,64,0.02076579616,200,COMPLETED,Sobol,8,5,4,16,1,4,TRUE,TRUE,,,,,6176,"C: [8, 16], K: [5, 1], P: ['True', 'True'], S: [4, 4], D: [64]"
3.432,1.521,3,3_0,16,0.01565391698,300,COMPLETED,Sobol,64,1,4,4,3,4,TRUE,TRUE,,,,,6324,"C: [64, 4], K: [1, 3], P: ['True', 'True'], S: [4, 4], D: [16]"
3.202,1.294,4,4_0,16,0.0723735872,250,COMPLETED,Sobol,64,3,4,2,1,4,TRUE,TRUE,,,,,5994,"C: [64, 2], K: [3, 1], P: ['True', 'True'], S: [4, 4], D: [16]"
2.068,0.966,5,5_0,32,0.02817768419,400,COMPLETED,Sobol,32,5,4,8,1,4,TRUE,TRUE,,,,,8792,"C: [32, 8], K: [5, 1], P: ['True', 'True'], S: [4, 4], D: [32]"
3.464,1.51,6,6_0,32,0.07530862661,150,COMPLETED,Sobol,4,1,2,16,5,4,TRUE,TRUE,,,,,5632,"C: [4, 16], K: [1, 5], P: ['True', 'True'], S: [2, 4], D: [32]"
3.457,1.543,7,7_0,64,0.002976857952,200,COMPLETED,Sobol,2,1,2,2,3,2,TRUE,TRUE,,,,,2594,"C: [2, 2], K: [1, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
2.52,0.94,8,8_0,64,0.04193085003,150,COMPLETED,Sobol,2,3,2,64,3,2,TRUE,TRUE,,,,,13584,"C: [2, 64], K: [3, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
3.464,1.51,9,9_0,32,0.09854714112,350,COMPLETED,Sobol,64,1,2,4,3,4,TRUE,TRUE,,,,,10052,"C: [64, 4], K: [1, 3], P: ['True', 'True'], S: [2, 4], D: [32]"
3.244,1.282,10,10_0,16,0.09194549919,400,COMPLETED,Sobol,16,3,4,8,1,2,TRUE,TRUE,,,,,2376,"C: [16, 8], K: [3, 1], P: ['True', 'True'], S: [4, 2], D: [16]"
1.652,0.533,11,11_0,64,0.05078854448,350,COMPLETED,Sobol,8,5,2,16,3,2,TRUE,TRUE,,,,,13216,"C: [8, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
3.432,1.521,12,12_0,64,0.04205043275,300,COMPLETED,Sobol,32,1,4,8,1,4,TRUE,TRUE,,,,,4216,"C: [32, 8], K: [1, 1], P: ['True', 'True'], S: [4, 4], D: [64]"
2.35,0.986,13,13_0,16,0.06688099732,250,COMPLETED,Sobol,32,5,4,4,3,4,TRUE,TRUE,,,,,9652,"C: [32, 4], K: [5, 3], P: ['True', 'True'], S: [4, 4], D: [16]"
3.464,1.51,14,14_0,64,0.005231927151,350,COMPLETED,Sobol,4,1,2,16,1,2,TRUE,TRUE,,,,,4640,"C: [4, 16], K: [1, 1], P: ['True', 'True'], S: [2, 2], D: [64]"
3.432,1.521,15,15_0,64,0.009095187676,50,COMPLETED,Sobol,32,1,4,4,5,2,TRUE,TRUE,,,,,9572,"C: [32, 4], K: [1, 5], P: ['True', 'True'], S: [4, 2], D: [64]"
2.068,0.966,16,16_0,32,0.04736616148,400,COMPLETED,Sobol,32,5,4,8,1,4,TRUE,TRUE,,,,,8792,"C: [32, 8], K: [5, 1], P: ['True', 'True'], S: [4, 4], D: [32]"
1.955,0.678,17,17_0,16,0.09742692689,350,COMPLETED,Sobol,32,3,2,8,5,4,TRUE,TRUE,,,,,23880,"C: [32, 8], K: [3, 5], P: ['True', 'True'], S: [2, 4], D: [16]"
1.632,0.592,18,18_0,64,0.04794116177,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,19,19_0,64,0.04755513973,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,20,20_0,64,0.04770226444,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,21,21_0,64,0.04798320691,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,22,22_0,64,0.04792295892,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,23,23_0,64,0.04838480845,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,24,24_0,64,0.04766929384,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,25,25_0,64,0.04821737988,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,26,26_0,64,0.04806683687,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,27,27_0,64,0.04823085257,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,28,28_0,64,0.04798173446,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
1.632,0.592,29,29_0,64,0.04765954978,350,COMPLETED,GPEI,16,5,2,16,3,2,TRUE,TRUE,,,,,22176,"C: [16, 16], K: [5, 3], P: ['True', 'True'], S: [2, 2], D: [64]"
2.281,0.717,0,0_0,32,0.06006845896,350,COMPLETED,Sobol,2,5,2,,,,TRUE,,,,,,3248,"C: [2], K: [5], P: ['True'], S: [2], D: [32]"
2.038,0.637,1,1_0,16,0.05438769559,200,COMPLETED,Sobol,4,5,2,,,,TRUE,,,,,,4384,"C: [4], K: [5], P: ['True'], S: [2], D: [16]"
3.464,1.51,2,2_0,32,0.02682954801,150,COMPLETED,Sobol,4,1,2,,,,TRUE,,,,,,2352,"C: [4], K: [1], P: ['True'], S: [2], D: [32]"
1.329,0.406,3,3_0,64,0.06964387341,300,COMPLETED,Sobol,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
3.464,1.51,4,4_0,32,0.01826003936,200,COMPLETED,Sobol,16,1,2,,,,TRUE,,,,,,6192,"C: [16], K: [1], P: ['True'], S: [2], D: [32]"
3.237,1.28,5,5_0,16,0.02034516674,100,COMPLETED,Sobol,8,3,4,,,,TRUE,,,,,,1440,"C: [8], K: [3], P: ['True'], S: [4], D: [16]"
3.432,1.521,6,6_0,16,0.03483549496,250,COMPLETED,Sobol,8,1,4,,,,TRUE,,,,,,928,"C: [8], K: [1], P: ['True'], S: [4], D: [16]"
3.464,1.51,7,7_0,16,0.09079931858,350,COMPLETED,Sobol,32,1,2,,,,TRUE,,,,,,6688,"C: [32], K: [1], P: ['True'], S: [2], D: [16]"
3.394,1.494,8,8_0,32,0.07198322936,400,COMPLETED,Sobol,2,5,4,,,,TRUE,,,,,,1616,"C: [2], K: [5], P: ['True'], S: [4], D: [32]"
3.397,1.359,9,9_0,16,0.04588409399,250,COMPLETED,Sobol,4,3,4,,,,TRUE,,,,,,992,"C: [4], K: [3], P: ['True'], S: [4], D: [16]"
2.221,0.949,10,10_0,64,0.05003553558,250,COMPLETED,Sobol,16,5,4,,,,TRUE,,,,,,7504,"C: [16], K: [5], P: ['True'], S: [4], D: [64]"
3.464,1.51,11,11_0,16,0.07846290146,400,COMPLETED,Sobol,64,1,2,,,,TRUE,,,,,,12832,"C: [64], K: [1], P: ['True'], S: [2], D: [16]"
1.336,0.423,12,12_0,64,0.06212371287,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,13,13_0,64,0.06617473168,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.329,0.406,14,14_0,64,0.06363363963,300,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,15,15_0,64,0.06477634223,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,16,16_0,64,0.06484662251,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,17,17_0,64,0.06487464684,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,18,18_0,64,0.06470859986,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,19,19_0,64,0.06479512774,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,20,20_0,64,0.06473629893,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,21,21_0,64,0.06485150664,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,22,22_0,64,0.06475179231,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,23,23_0,64,0.06481615685,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,24,24_0,64,0.06473199829,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,25,25_0,64,0.06461989873,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,26,26_0,64,0.06466352243,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,27,27_0,64,0.06481103234,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,28,28_0,64,0.06468447947,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.336,0.423,29,29_0,64,0.0647232878,250,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
3.302,1.481,0,0_0,,0.02530498379,250,COMPLETED,Sobol,2,1,2,,,,TRUE,,,,,,400,"C: [2], K: [1], P: ['True'], S: [2], D: []"
3.432,1.521,1,1_0,,0.0381113284,350,COMPLETED,Sobol,64,1,4,,,,TRUE,,,,,,3088,"C: [64], K: [1], P: ['True'], S: [4], D: []"
3.396,1.493,2,2_0,,0.04352773701,350,COMPLETED,Sobol,2,5,4,,,,TRUE,,,,,,496,"C: [2], K: [5], P: ['True'], S: [4], D: []"
3.306,1.47,3,3_0,,0.03254036237,250,COMPLETED,Sobol,4,1,2,,,,TRUE,,,,,,784,"C: [4], K: [1], P: ['True'], S: [2], D: []"
3.353,1.372,4,4_0,,0.002429044328,50,COMPLETED,Sobol,4,3,4,,,,TRUE,,,,,,464,"C: [4], K: [3], P: ['True'], S: [4], D: []"
1.621,0.631,5,5_0,,0.09790038336,250,COMPLETED,Sobol,64,3,2,,,,TRUE,,,,,,28688,"C: [64], K: [3], P: ['True'], S: [2], D: []"
3.306,1.47,6,6_0,,0.002165495003,250,COMPLETED,Sobol,4,1,2,,,,TRUE,,,,,,784,"C: [4], K: [1], P: ['True'], S: [2], D: []"
1.646,0.496,7,7_0,,0.02072593885,150,COMPLETED,Sobol,8,5,2,,,,TRUE,,,,,,7696,"C: [8], K: [5], P: ['True'], S: [2], D: []"
1.168,0.344,8,8_0,,0.09715344377,150,COMPLETED,Sobol,64,5,2,,,,TRUE,,,,,,61456,"C: [64], K: [5], P: ['True'], S: [2], D: []"
3.176,1.302,9,9_0,,0.003889939461,150,COMPLETED,Sobol,64,3,4,,,,TRUE,,,,,,7184,"C: [64], K: [3], P: ['True'], S: [4], D: []"
1.319,0.397,10,10_0,,0.07350661627,150,COMPLETED,GPEI,32,5,2,,,,TRUE,,,,,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
