EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,stride_1,learning_rate,batch_size,pooling_1,trial_status,generation_method,units_1,OPs,info
3.401,1.489,0,0_0,64.0,1.0,2.0,0.0126588855713605,250,True,COMPLETED,Sobol,,12304,"C: [64], K: [1], P: ['True'], S: [2], D: []"
2.328,0.984,1,1_0,8.0,5.0,4.0,0.0925328573297709,100,True,COMPLETED,Sobol,,1936,"C: [8], K: [5], P: ['True'], S: [4], D: []"
3.227,1.45,2,2_0,64.0,1.0,2.0,0.0804714081394486,200,True,COMPLETED,Sobol,,12304,"C: [64], K: [1], P: ['True'], S: [2], D: []"
3.22,1.278,3,3_0,8.0,3.0,4.0,0.0620388698339462,300,True,COMPLETED,Sobol,,912,"C: [8], K: [3], P: ['True'], S: [4], D: []"
1.201,0.357,4,4_0,16.0,5.0,2.0,0.0012659757140092,50,True,COMPLETED,Sobol,,15376,"C: [16], K: [5], P: ['True'], S: [2], D: []"
3.162,1.306,5,5_0,2.0,5.0,4.0,0.0504249910308048,150,True,COMPLETED,Sobol,,496,"C: [2], K: [5], P: ['True'], S: [4], D: []"
0.996,0.284,6,6_0,32.0,5.0,2.0,0.0957076161406934,150,True,COMPLETED,Sobol,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
3.132,1.323,7,7_0,64.0,3.0,4.0,0.0068317836609669,50,True,COMPLETED,Sobol,,7184,"C: [64], K: [3], P: ['True'], S: [4], D: []"
3.149,1.307,8,8_0,32.0,3.0,4.0,0.0462635784410871,350,True,COMPLETED,Sobol,,3600,"C: [32], K: [3], P: ['True'], S: [4], D: []"
3.316,1.478,9,9_0,2.0,1.0,2.0,0.0404088674494065,400,True,COMPLETED,Sobol,,400,"C: [2], K: [1], P: ['True'], S: [2], D: []"
0.95,0.281,10,10_0,32.0,5.0,2.0,0.0592042605570087,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
1.184,0.356,11,11_0,16.0,5.0,2.0,0.0665074243076109,100,True,COMPLETED,GPEI,,15376,"C: [16], K: [5], P: ['True'], S: [2], D: []"
0.996,0.284,12,12_0,32.0,5.0,2.0,0.0639504155225618,150,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,13,13_0,32.0,5.0,2.0,0.0736404347600892,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,14,14_0,32.0,5.0,2.0,0.0694577517681522,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,15,15_0,32.0,5.0,2.0,0.0692202805375556,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,16,16_0,32.0,5.0,2.0,0.0688225915191657,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,17,17_0,32.0,5.0,2.0,0.0690391298777032,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,18,18_0,32.0,5.0,2.0,0.0688207017799196,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,19,19_0,32.0,5.0,2.0,0.0690611279737671,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,20,20_0,32.0,5.0,2.0,0.0688758801272408,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,21,21_0,32.0,5.0,2.0,0.0692171553259714,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,22,22_0,32.0,5.0,2.0,0.068773996395548,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,23,23_0,32.0,5.0,2.0,0.068587706013847,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,24,24_0,32.0,5.0,2.0,0.0684107331796618,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,25,25_0,32.0,5.0,2.0,0.0682958422478996,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,26,26_0,32.0,5.0,2.0,0.0687235933515545,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,27,27_0,32.0,5.0,2.0,0.0683251850211801,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,28,28_0,32.0,5.0,2.0,0.0679528315374262,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,29,29_0,32.0,5.0,2.0,0.0683980523545815,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,30,30_0,32.0,5.0,2.0,0.0686732527462833,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,31,31_0,32.0,5.0,2.0,0.068869974038971,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,32,32_0,32.0,5.0,2.0,0.0686002471664523,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
1.104,0.33,33,33_0,32.0,5.0,2.0,0.0654149406508163,50,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,34,34_0,32.0,5.0,2.0,0.071952761060922,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,35,35_0,32.0,5.0,2.0,0.0722297481065803,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,36,36_0,32.0,5.0,2.0,0.0724100048950489,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,37,37_0,32.0,5.0,2.0,0.0722985768295978,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,38,38_0,32.0,5.0,2.0,0.0724536208670334,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
0.95,0.281,39,39_0,32.0,5.0,2.0,0.072497442177064,100,True,COMPLETED,GPEI,,30736,"C: [32], K: [5], P: ['True'], S: [2], D: []"
2.551,0.984,0,0_0,8.0,5.0,4.0,0.0288590307325124,50,True,COMPLETED,Sobol,32.0,3248,"C: [8], K: [5], P: ['True'], S: [4], D: [32]"
1.544,0.62,1,1_0,32.0,3.0,2.0,0.053850907657668,50,True,COMPLETED,Sobol,64.0,28752,"C: [32], K: [3], P: ['True'], S: [2], D: [64]"
3.143,1.319,2,2_0,16.0,3.0,4.0,0.016894617628213,350,True,COMPLETED,Sobol,64.0,5456,"C: [16], K: [3], P: ['True'], S: [4], D: [64]"
3.432,1.521,3,3_0,2.0,1.0,4.0,0.0992933013211004,200,True,COMPLETED,Sobol,16.0,640,"C: [2], K: [1], P: ['True'], S: [4], D: [16]"
3.457,1.543,4,4_0,4.0,1.0,2.0,0.0549265041420236,300,True,COMPLETED,Sobol,16.0,1312,"C: [4], K: [1], P: ['True'], S: [2], D: [16]"
3.401,1.488,5,5_0,8.0,1.0,2.0,0.0861534860577434,250,True,COMPLETED,Sobol,16.0,2080,"C: [8], K: [1], P: ['True'], S: [2], D: [16]"
1.234,0.379,6,6_0,16.0,5.0,2.0,0.0826692613459192,250,True,COMPLETED,Sobol,64.0,23632,"C: [16], K: [5], P: ['True'], S: [2], D: [64]"
3.457,1.543,7,7_0,2.0,1.0,4.0,0.043056097490713,150,True,COMPLETED,Sobol,16.0,640,"C: [2], K: [1], P: ['True'], S: [4], D: [16]"
1.031,0.293,8,8_0,32.0,5.0,2.0,0.0697173478067852,300,True,COMPLETED,Sobol,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
3.432,1.521,9,9_0,8.0,1.0,4.0,0.0225460144063457,200,True,COMPLETED,Sobol,64.0,3280,"C: [8], K: [1], P: ['True'], S: [4], D: [64]"
3.247,1.277,10,10_0,8.0,3.0,4.0,0.0629200209663249,50,True,COMPLETED,Sobol,16.0,1440,"C: [8], K: [3], P: ['True'], S: [4], D: [16]"
3.457,1.543,11,11_0,2.0,5.0,2.0,0.0513880694395862,250,True,COMPLETED,Sobol,64.0,4816,"C: [2], K: [5], P: ['True'], S: [2], D: [64]"
1.07,0.319,12,12_0,32.0,5.0,2.0,0.0721864760066776,200,True,COMPLETED,GPEI,64.0,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.012,0.295,13,13_0,32.0,5.0,2.0,0.0755258627418488,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.045,0.31,14,14_0,32.0,5.0,2.0,0.0719209915156236,250,True,COMPLETED,GPEI,64.0,45136,"C: [32], K: [5], P: ['True'], S: [2], D: [64]"
1.012,0.295,15,15_0,32.0,5.0,2.0,0.0704047292852566,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,16,16_0,32.0,5.0,2.0,0.0733755228109849,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,17,17_0,32.0,5.0,2.0,0.0733183064018318,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,18,18_0,32.0,5.0,2.0,0.0732647342405661,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,19,19_0,32.0,5.0,2.0,0.0733698579869182,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,20,20_0,32.0,5.0,2.0,0.0733196579418825,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,21,21_0,32.0,5.0,2.0,0.0732578914196875,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,22,22_0,32.0,5.0,2.0,0.07329266068822,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,23,23_0,32.0,5.0,2.0,0.0733672431943437,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,24,24_0,32.0,5.0,2.0,0.0733496699990606,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,25,25_0,32.0,5.0,2.0,0.0732874765786054,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,26,26_0,32.0,5.0,2.0,0.0733336115661511,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,27,27_0,32.0,5.0,2.0,0.0733472952837832,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,28,28_0,32.0,5.0,2.0,0.0733113331059027,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.012,0.295,29,29_0,32.0,5.0,2.0,0.0732808378813706,250,True,COMPLETED,GPEI,32.0,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
