EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info,OPs,info
2.243,1.13,0,0_0,8,3,False,4,0.0846222611606121,250,COMPLETED,Sobol,,,912,"C: [8], K: [3], P: ['False'], S: [4], D: []",912,"C: [8], K: [3], P: ['False'], S: [4], D: []"
3.464,1.51,1,1_0,64,1,True,2,0.0099227890235371,100,COMPLETED,Sobol,,,12304,"C: [64], K: [1], P: ['True'], S: [2], D: []",12304,"C: [64], K: [1], P: ['True'], S: [2], D: []"
100.0,10.0,2,2_0,64,1,False,1,0.048929975565616,300,COMPLETED,Sobol,,,49168,"C: [64], K: [1], P: ['False'], S: [1], D: []",49168,"C: [64], K: [1], P: ['False'], S: [1], D: []"
3.237,1.441,3,3_0,8,1,True,2,0.0379153981462121,100,COMPLETED,Sobol,,,1552,"C: [8], K: [1], P: ['True'], S: [2], D: []",1552,"C: [8], K: [1], P: ['True'], S: [2], D: []"
3.218,1.443,4,4_0,16,1,True,2,0.0295708703813143,250,COMPLETED,Sobol,,,3088,"C: [16], K: [1], P: ['True'], S: [2], D: []",3088,"C: [16], K: [1], P: ['True'], S: [2], D: []"
1.114,0.324,5,5_0,32,3,False,2,0.0114527966897934,250,COMPLETED,Sobol,,,14352,"C: [32], K: [3], P: ['False'], S: [2], D: []",14352,"C: [32], K: [3], P: ['False'], S: [2], D: []"
2.116,1.192,6,6_0,64,3,False,4,0.0513992742344737,100,COMPLETED,Sobol,,,7184,"C: [64], K: [3], P: ['False'], S: [4], D: []",7184,"C: [64], K: [3], P: ['False'], S: [4], D: []"
3.464,1.51,7,7_0,32,1,True,2,0.0971885340385139,250,COMPLETED,Sobol,,,6160,"C: [32], K: [1], P: ['True'], S: [2], D: []",6160,"C: [32], K: [1], P: ['True'], S: [2], D: []"
1.545,0.503,8,8_0,2,5,False,1,0.0633128251750022,50,COMPLETED,Sobol,,,7696,"C: [2], K: [5], P: ['False'], S: [1], D: []",7696,"C: [2], K: [5], P: ['False'], S: [1], D: []"
100.0,10.0,9,9_0,32,5,True,1,0.0621417967852205,350,COMPLETED,Sobol,,,122896,"C: [32], K: [5], P: ['True'], S: [1], D: []",122896,"C: [32], K: [5], P: ['True'], S: [1], D: []"
1.155,0.35,10,10_0,32,5,False,4,0.0272140984406694,400,COMPLETED,Sobol,,,7696,"C: [32], K: [5], P: ['False'], S: [4], D: []",7696,"C: [32], K: [5], P: ['False'], S: [4], D: []"
3.432,1.521,11,11_0,16,1,True,4,0.0154935943810269,50,COMPLETED,Sobol,,,784,"C: [16], K: [1], P: ['True'], S: [4], D: []",784,"C: [16], K: [1], P: ['True'], S: [4], D: []"
2.16,1.185,12,12_0,32,3,False,4,0.0163113414334009,300,COMPLETED,GPEI,,,3600,"C: [32], K: [3], P: ['False'], S: [4], D: []",3600,"C: [32], K: [3], P: ['False'], S: [4], D: []"
1.126,0.33,13,13_0,32,5,False,2,0.0167576643333306,300,COMPLETED,GPEI,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []",30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
1.249,0.382,14,14_0,16,5,False,2,0.016940508172146,250,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []",15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.126,0.33,15,15_0,32,5,False,2,0.020669014706635,300,COMPLETED,GPEI,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []",30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
1.126,0.33,16,16_0,32,5,False,2,0.0246139340762664,300,COMPLETED,GPEI,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []",30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
1.126,0.33,17,17_0,32,5,False,2,0.0263952006063981,300,COMPLETED,GPEI,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []",30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
1.126,0.33,18,18_0,32,5,False,2,0.0275545817952944,300,COMPLETED,GPEI,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []",30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
1.126,0.33,19,19_0,32,5,False,2,0.0280132994697424,300,COMPLETED,GPEI,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []",30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
100.0,10.0,0,0_0,64,3,False,1,0.0635033860504627,300,COMPLETED,Sobol,16.0,16.0,115760,"C: [64], K: [3], P: ['False'], S: [1], D: [16, 16]",115760,"C: [64], K: [3], P: ['False'], S: [1], D: [16, 16]"
100.0,10.0,1,1_0,64,1,False,1,0.0474128832185641,100,COMPLETED,Sobol,32.0,16.0,83520,"C: [64], K: [1], P: ['False'], S: [1], D: [32, 16]",83520,"C: [64], K: [1], P: ['False'], S: [1], D: [32, 16]"
2.775,1.103,2,2_0,4,3,False,4,0.0973214102841913,50,COMPLETED,Sobol,64.0,16.0,3488,"C: [4], K: [3], P: ['False'], S: [4], D: [64, 16]",3488,"C: [4], K: [3], P: ['False'], S: [4], D: [64, 16]"
1.909,0.541,3,3_0,4,1,True,1,0.0583756881793961,400,COMPLETED,Sobol,16.0,64.0,7264,"C: [4], K: [1], P: ['True'], S: [1], D: [16, 64]",7264,"C: [4], K: [1], P: ['True'], S: [1], D: [16, 64]"
100.0,10.0,4,4_0,64,1,False,1,0.0303298955667763,300,COMPLETED,Sobol,16.0,16.0,50224,"C: [64], K: [1], P: ['False'], S: [1], D: [16, 16]",50224,"C: [64], K: [1], P: ['False'], S: [1], D: [16, 16]"
1.624,0.537,5,5_0,8,5,False,2,0.0102870739491656,150,COMPLETED,Sobol,32.0,64.0,14960,"C: [8], K: [5], P: ['False'], S: [2], D: [32, 64]",14960,"C: [8], K: [5], P: ['False'], S: [2], D: [32, 64]"
100.0,10.0,6,6_0,64,5,False,1,0.0088574533591046,350,COMPLETED,Sobol,64.0,32.0,349296,"C: [64], K: [5], P: ['False'], S: [1], D: [64, 32]",349296,"C: [64], K: [5], P: ['False'], S: [1], D: [64, 32]"
1.962,0.575,7,7_0,16,1,True,1,0.0691973653475754,400,COMPLETED,Sobol,16.0,32.0,14400,"C: [16], K: [1], P: ['True'], S: [1], D: [16, 32]",14400,"C: [16], K: [1], P: ['True'], S: [1], D: [16, 32]"
3.432,1.521,8,8_0,64,1,True,4,0.0835729920505546,400,COMPLETED,Sobol,32.0,64.0,11376,"C: [64], K: [1], P: ['True'], S: [4], D: [32, 64]",11376,"C: [64], K: [1], P: ['True'], S: [4], D: [32, 64]"
