EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
1.955,0.669,0,0_0,16,3,True,2,0.0306269438147544,300,COMPLETED,Sobol,,,7184,"C: [16], K: [3], P: ['True'], S: [2], D: []"
1.733,0.544,1,1_0,8,5,True,2,0.0404613181632012,50,COMPLETED,Sobol,,,7696,"C: [8], K: [5], P: ['True'], S: [2], D: []"
1.476,0.425,2,2_0,4,5,True,1,0.0036097483211196,50,COMPLETED,Sobol,,,15376,"C: [4], K: [5], P: ['True'], S: [1], D: []"
1.271,0.384,3,3_0,16,5,False,2,0.0155597807399928,150,COMPLETED,Sobol,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
100.0,10.0,4,4_0,4,3,True,2,0.0388569437659345,150,COMPLETED,Sobol,,,1808,"C: [4], K: [3], P: ['True'], S: [2], D: []"
1.955,0.669,5,5_0,16,3,True,2,0.0509477023275569,300,COMPLETED,Sobol,,,7184,"C: [16], K: [3], P: ['True'], S: [2], D: []"
100.0,10.0,6,6_0,32,5,False,2,0.0039032803414389,100,COMPLETED,Sobol,,,30736,"C: [32], K: [5], P: ['False'], S: [2], D: []"
1.247,0.359,7,7_0,8,3,False,2,0.0754269815879874,200,COMPLETED,Sobol,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
100.0,10.0,8,8_0,8,5,False,1,0.0557134013373404,350,COMPLETED,Sobol,,,30736,"C: [8], K: [5], P: ['False'], S: [1], D: []"
100.0,10.0,9,9_0,4,1,False,4,0.0214645703199319,200,COMPLETED,Sobol,,,208,"C: [4], K: [1], P: ['False'], S: [4], D: []"
100.0,10.0,10,10_0,8,3,True,4,0.0211479840417392,250,COMPLETED,Sobol,,,912,"C: [8], K: [3], P: ['True'], S: [4], D: []"
100.0,10.0,11,11_0,4,1,False,2,0.0395191006149165,300,COMPLETED,Sobol,,,784,"C: [4], K: [1], P: ['False'], S: [2], D: []"
1.271,0.384,12,12_0,16,5,False,2,0.0473667511920752,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,13,13_0,16,5,False,2,0.0450301784555992,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,14,14_0,16,5,False,2,0.0495080019156622,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,15,15_0,16,5,False,2,0.0511196751480365,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,16,16_0,16,5,False,2,0.0517479404075005,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,17,17_0,16,5,False,2,0.0522086178080394,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,18,18_0,16,5,False,2,0.0523010439000219,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,19,19_0,16,5,False,2,0.0522841878740959,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,20,20_0,16,5,False,2,0.0524449049508018,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,21,21_0,16,5,False,2,0.0524142456784923,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,22,22_0,16,5,False,2,0.0522574623188471,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,23,23_0,16,5,False,2,0.0523166865634002,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.271,0.384,24,24_0,16,5,False,2,0.0525244343842568,150,COMPLETED,GPEI,,,15376,"C: [16], K: [5], P: ['False'], S: [2], D: []"
1.247,0.359,25,25_0,8,3,False,2,0.0571840478437886,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
1.335,0.423,26,26_0,8,5,False,2,0.0560941845774228,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.335,0.423,27,27_0,8,5,False,2,0.0560503038792144,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.335,0.423,28,28_0,8,5,False,2,0.0560750586075675,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.335,0.423,29,29_0,8,5,False,2,0.0560370757379756,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.335,0.423,30,30_0,8,5,False,2,0.0560625825736838,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.335,0.423,31,31_0,8,5,False,2,0.056088305578126,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.335,0.423,32,32_0,8,5,False,2,0.056080045124356,150,COMPLETED,GPEI,,,7696,"C: [8], K: [5], P: ['False'], S: [2], D: []"
1.247,0.359,33,33_0,8,3,False,2,0.0576627101476505,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
1.247,0.359,34,34_0,8,3,False,2,0.0563817441869136,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
1.247,0.359,35,35_0,8,3,False,2,0.0530254980083203,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
1.247,0.359,36,36_0,8,3,False,2,0.0490457480089159,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
1.247,0.359,37,37_0,8,3,False,2,0.0488604032634938,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
1.247,0.359,38,38_0,8,3,False,2,0.0486513123218252,150,COMPLETED,GPEI,,,3600,"C: [8], K: [3], P: ['False'], S: [2], D: []"
